line_type	tag	concordant_site_freq	num_introgressed_1	num_introgressed_0	seq_ids_('par', 'bay')	seq_ids_('par', 'par')	seq_ids_('cer', 'cer')	seq_ids_('cer', 'bay')	seq_ids_('bay', 'bay')	seq_ids_('cer', 'par')	concordant_tree_frac
std_err	s13	0.0	0.0	0.0	0.000112112289911	NA	7.77845269487e-05	0.000113097353306	NA	8.34556956087e-05	0.0
bs_lower	s13	1.0	0.0	0.0	0.58263422	NA	0.99687824	0.58265594	NA	0.85884839	1.0
bs_upper	s13	1.0	0.0	0.0	0.58303626	NA	0.9971786	0.58316662	NA	0.85923349	1.0
mean	s14	0.483737	50000.0	50000.0	0.58309864	NA	0.99487764	0.58309844	NA	0.99324752	0.482947297422
std_err	s14	0.013600274503	0.0	0.0	0.000115273232229	NA	0.000132393970383	0.000115034270762	NA	0.000106070879515	0.0135984254577
bs_lower	s14	0.45940116	50000.0	50000.0	0.58286386	NA	0.99459696	0.58289217	NA	0.99302201	0.457488083097
bs_upper	s14	0.50769158	50000.0	50000.0	0.58338736	NA	0.99515718	0.58331068	NA	0.99348901	0.510462332044
mean	s15	0.98803468	15959.771	15869.695	0.5828992	NA	0.99576146	0.58285467	NA	0.88179973	0.988007356131
std_err	s15	0.00297728064	618.424031373	617.087752705	0.000113622609799	NA	0.000366866351125	0.000113787863892	NA	0.00107006953935	0.00297700647717
bs_lower	s15	0.98225232	14697.311	14764.48	0.58269384	NA	0.99493752	0.5826632	NA	0.87967305	0.983639908433
bs_upper	s15	0.9927027	17247.705	17066.158	0.58315372	NA	0.99633098	0.58304368	NA	0.88392785	0.9928914779
mean	s16	1.0	0.0	0.0	0.58298766	NA	0.99705462	0.58300309	NA	0.85901351	1.0
std_err	s16	0.0	0.0	0.0	0.000101648703796	NA	6.9260682192e-05	0.000102422921296	NA	7.49293626644e-05	0.0
bs_lower	s16	1.0	0.0	0.0	0.58277072	NA	0.99691222	0.58283763	NA	0.85883835	1.0
bs_upper	s16	1.0	0.0	0.0	0.58317644	NA	0.99718548	0.58322183	NA	0.85915963	1.0
mean	s17	0.49726924	50000.0	50000.0	0.5830027	NA	0.99490992	0.5830042	NA	0.9932318	0.496876668756
